filename,proj_no,hole_no,top_depth,bottom_depth,coord_x,coord_y,elevation
01016607-07_HB15-1_53.0m-58.0m.jpg,01016607-07,HB15-1,53.0,58.0,121.46727,25.024928,105.09
01016607-07_HB15-2S_54.0m-59.0m.jpg,01016607-07,HB15-2S,54.0,59.0,121.467122,25.025172,105.11
01016607-07_HB15-3_55.0m-60.0m.jpg,01016607-07,HB15-3,55.0,60.0,121.466964,25.025281,105.17
0101660704_HC08-3_55.0m-60.0m.jpg,0101660704,HC08-3,55.0,60.0,121.463669,25.031927,105.92
0101660706_HB04-3_0.0m-0.0m.jpg,0101660706,HB04-3,0.0,0.0,121.463245,25.016517,107.76
0101660706_HB05-1_0.0m-0.0m.jpg,0101660706,HB05-1,0.0,0.0,121.463543,25.016887,107.76
0101660706_HB05-2S_0.0m-0.0m.jpg,0101660706,HB05-2S,0.0,0.0,121.463762,25.017157,107.48
0101660706_HB05-3_0.0m-0.0m.jpg,0101660706,HB05-3,0.0,0.0,121.464,25.01712,107.42
0101660706_HB13-2S_0.0m-0.0m.jpg,0101660706,HB13-2S,0.0,0.0,121.467588,25.02276,106.43
0101660706_HB14-1_0.0m-0.0m.jpg,0101660706,HB14-1,0.0,0.0,121.467632,25.023907,105.66
0101660706_HB14-3_0.0m-0.0m.jpg,0101660706,HB14-3,0.0,0.0,121.487223,25.024313,105.21
0101660708_HB06-1_50.0m-55.0m.jpg,0101660708,HB06-1,50.0,55.0,121.464419,25.017949,107.0
0101660708_HB06-2S_50.0m-55.0m.jpg,0101660708,HB06-2S,50.0,55.0,121.464668,25.018265,107.02
0101660708_HB06-3_50.0m-55.0m.jpg,0101660708,HB06-3,50.0,55.0,121.464837,25.018463,106.96
0101660708_HB07-1_50.0m-55.0m.jpg,0101660708,HB07-1,50.0,55.0,121.464977,25.018643,106.94
0101660708_HB07-2S_50.0m-55.0m.jpg,0101660708,HB07-2S,50.0,55.0,121.465106,25.018814,106.85
0101660708_HB07-3_49.0m-54.0m.jpg,0101660708,HB07-3,49.0,54.0,121.465265,25.019012,106.61
0101660708_HB08-1_49.0m-54.0m.jpg,0101660708,HB08-1,49.0,54.0,121.465415,25.019192,106.69
0101660708_HB08-2S_49.0m-54.0m.jpg,0101660708,HB08-2S,49.0,54.0,121.465544,25.019363,106.43
0101660708_HB08-3_49.0m-54.0m.jpg,0101660708,HB08-3,49.0,54.0,121.465694,25.019534,106.53
0101660708_HB09-1_49.0m-54.0m.jpg,0101660708,HB09-1,49.0,54.0,121.465833,25.019696,106.35
0101660708_HB13-1_50.0m-55.0m.jpg,0101660708,HB13-1,50.0,55.0,121.467548,25.02249,106.11
0377500702507_E002-1_24.0m-40.0m.jpg,0377500702507,E002-1,24.0,40.0,121.527978,25.011337,5.76
0377500702507_E002-1_3.0m-15.0m.jpg,0377500702507,E002-1,3.0,15.0,121.527978,25.011337,5.76
0377500702507_E002-1_40.0m-50.0m.jpg,0377500702507,E002-1,40.0,50.0,121.527978,25.011337,5.76
0377500702507_E007-1_28.0m-44.0m.jpg,0377500702507,E007-1,28.0,44.0,121.611362,25.063344,7.24
0377500702507_E007-1_44.0m-50.0m.jpg,0377500702507,E007-1,44.0,50.0,121.611362,25.063344,7.24
0377500702507_E007-2_26.0m-42.0m.jpg,0377500702507,E007-2,26.0,42.0,121.612338,25.062877,6.35
0377500702507_E007-2_42.0m-50.0m.jpg,0377500702507,E007-2,42.0,50.0,121.612338,25.062877,6.35
0377500702507_E012-1_39.0m-50.0m.jpg,0377500702507,E012-1,39.0,50.0,121.582498,25.054224,6.25
0377500702507_E012-2_38.0m-50.0m.jpg,0377500702507,E012-2,38.0,50.0,121.583277,25.053158,4.85
0377500702507_E013-1_39.0m-50.0m.jpg,0377500702507,E013-1,39.0,50.0,121.5917,25.05954,7.85
0377500702507_E013-2_38.0m-50.0m.jpg,0377500702507,E013-2,38.0,50.0,121.592593,25.058653,6.95
0377500702507_E021-1_1.0m-16.0m.jpg,0377500702507,E021-1,1.0,16.0,121.542742,25.097429,6.58
0377500702507_E021-1_16.0m-32.0m.jpg,0377500702507,E021-1,16.0,32.0,121.542742,25.097429,6.58
0377500702507_E021-1_32.0m-35.0m.jpg,0377500702507,E021-1,32.0,35.0,121.542742,25.097429,6.58
0377500702507_E021-2_0.0m-16.0m.jpg,0377500702507,E021-2,0.0,16.0,121.542235,25.09765,6.85
0377500702507_E021-2_16.0m-30.0m.jpg,0377500702507,E021-2,16.0,30.0,121.542235,25.09765,6.85
0377500702507_E022-1_52.0m-60.0m.jpg,0377500702507,E022-1,52.0,60.0,121.513246,25.09872,2.93
0377500702507_E022-2_53.0m-60.0m.jpg,0377500702507,E022-2,53.0,60.0,121.513438,25.098119,2.81
0377500702507_E024-1_40.0m-50.0m.jpg,0377500702507,E024-1,40.0,50.0,121.526399,25.100381,3.11
0377500702507_E024-2_40.0m-50.0m.jpg,0377500702507,E024-2,40.0,50.0,121.526911,25.099891,3.74
0377500702507_E026-1_16.0m-32.0m.jpg,0377500702507,E026-1,16.0,32.0,121.537045,25.100363,4.85
0377500702507_E026-1_32.0m-40.0m.jpg,0377500702507,E026-1,32.0,40.0,121.537045,25.100363,4.85
0377500702507_E026-2_20.0m-35.0m.jpg,0377500702507,E026-2,20.0,35.0,121.536782,25.099995,5.56
037750071011000000_BH-1_46.0m-50.0m.jpg,037750071011000000,BH-1,46.0,50.0,121.581742,25.058208,9.7
03795904-10207_BH-1_0.0m-5.0m.jpg,03795904-10207,BH-1,0.0,5.0,121.593804,24.643343,234.39
03795904-10207_BH-1_10.0m-15.0m.jpg,03795904-10207,BH-1,10.0,15.0,121.593804,24.643343,234.39
03795904-10207_BH-1_15.0m-20.0m.jpg,03795904-10207,BH-1,15.0,20.0,121.593804,24.643343,234.39
03795904-10207_BH-1_20.0m-25.0m.jpg,03795904-10207,BH-1,20.0,25.0,121.593804,24.643343,234.39
03795904-10207_BH-1_25.0m-30.0m.jpg,03795904-10207,BH-1,25.0,30.0,121.593804,24.643343,234.39
03795904-10207_BH-1_30.0m-35.0m.jpg,03795904-10207,BH-1,30.0,35.0,121.593804,24.643343,234.39
03795904-10207_BH-1_35.0m-40.0m.jpg,03795904-10207,BH-1,35.0,40.0,121.593804,24.643343,234.39
03795904-10207_BH-1_40.0m-45.0m.jpg,03795904-10207,BH-1,40.0,45.0,121.593804,24.643343,234.39
03795904-10207_BH-1_45.0m-50.0m.jpg,03795904-10207,BH-1,45.0,50.0,121.593804,24.643343,234.39
03795904-10207_BH-1_5.0m-10.0m.jpg,03795904-10207,BH-1,5.0,10.0,121.593804,24.643343,234.39
03795904-10207_BH-2_0.0m-5.0m.jpg,03795904-10207,BH-2,0.0,5.0,121.594059,24.643561,219.8
03795904-10207_BH-2_10.0m-15.0m.jpg,03795904-10207,BH-2,10.0,15.0,121.594059,24.643561,219.8
03795904-10207_BH-2_15.0m-20.0m.jpg,03795904-10207,BH-2,15.0,20.0,121.594059,24.643561,219.8
03795904-10207_BH-2_20.0m-25.0m.jpg,03795904-10207,BH-2,20.0,25.0,121.594059,24.643561,219.8
03795904-10207_BH-2_25.0m-30.0m.jpg,03795904-10207,BH-2,25.0,30.0,121.594059,24.643561,219.8
03795904-10207_BH-2_30.0m-35.0m.jpg,03795904-10207,BH-2,30.0,35.0,121.594059,24.643561,219.8
03795904-10207_BH-2_35.0m-40.0m.jpg,03795904-10207,BH-2,35.0,40.0,121.594059,24.643561,219.8
03795904-10207_BH-2_40.0m-45.0m.jpg,03795904-10207,BH-2,40.0,45.0,121.594059,24.643561,219.8
03795904-10207_BH-2_45.0m-50.0m.jpg,03795904-10207,BH-2,45.0,50.0,121.594059,24.643561,219.8
03795904-10207_BH-2_5.0m-10.0m.jpg,03795904-10207,BH-2,5.0,10.0,121.594059,24.643561,219.8
03795904-10207_BH-3_0.0m-5.0m.jpg,03795904-10207,BH-3,0.0,5.0,121.594334,24.643795,189.7
03795904-10207_BH-3_10.0m-15.0m.jpg,03795904-10207,BH-3,10.0,15.0,121.594334,24.643795,189.7
03795904-10207_BH-3_15.0m-20.0m.jpg,03795904-10207,BH-3,15.0,20.0,121.594334,24.643795,189.7
